Parent SKU,Name,Description,Main Image,Extra Images,Variation Image,SKU,Currency Code,Cost,Default Shipping Price,Reference Price,Inventory,Price,GTIN,Color,Size,Tags,Brand ID,AU,BE,BR,CA,CL,DE,ES,FI,FR,GB,IT,JP,KR,MX,NL,NO,SE,US,Declared Name,Declared Local Name,Pieces Included,Length,Width,Height,Weight,Country of Origin,Customs HS Code,Customs Declared Value,Contains Powder,Contains Liquid,Contains Battery,Contains Metal,Warehouse 
SKU_with_variations,Sleeveless High and Low Chiffon Dress,"Simple, shining accessories take this easy asymmetrical dress from day to evening in a snap. Color: Mint Green- Size Available : XS, S, M,L, XL --- Back Length : XS: 116 cm , S:118 cm, M: 120 cm, L: 122 cm , XL: 124 cm-- Bust: XS: 82 cm, S: 86 cm, M: 90 cm, L: 94, XL:98 cm-- Waist: XS: 62 cm, S: 66 cm, M: 70 cm, L: 74 cm, XL: 78 cm-- Shoulder : XS:36 cm, S: 37 cm, M: 38 cm, L:39 cm, XL: 40 cm",https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg | https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_XS,USD,9,5,25,125,10,,Mint,XS,"High and low dress, chiffon dress, dress, asymmetrical dress, Beautiful dress, Women's Fashion, Summer Fashion, sleeveless chiffon",,disable,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99,,1.99,1.99,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Mint_S,USD,9,,,200,10,,Mint,S,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_M,USD,14,,,200,15,,Mint,M,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,https://canary.contestimg.wish.com/api/webimage/5910d935341185564aa7f0e1-original.jpg,TG-088_Mint_L,USD,14,,,200,15,,Mint,L,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Mint_XL,USD,19,,,200,21,,Mint,XL,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Pink_XS,USD,9,,,200,10,,Pink,XS,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Pink_S,USD,14,,,200,15,,Pink,S,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Pink_M,USD,14,,,200,15,,Pink,M,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_with_variations,,,,,,TG-088_Pink_L,USD,19,,,200,20,,Pink,L,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,no,no,no,no,
SKU_without_variation,Home Decor Stylish Mirror,A modern mirror designed to fit perfectly for the modern living room aesthetic,https://canary.contestimg.wish.com/api/webimage/5f2dc85b5b1c88bf5f04b76b-original.jpg,,,MK_111_Mirror,USD,17,4,25,1000,19,,,,"Mirror, home, decor, living room, modern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
